batch,score,loss,loss_v
1,-50,-15.005045,602.79065
2,-50,-13.90016,589.3056
3,-50,-14.959708,604.7753
4,-48,-13.334619,604.3809
5,-50,-15.162078,604.7372
6,-50,-15.951081,581.136
7,-50,-13.772654,601.14435
8,-14,-9.030616,225.99228
9,-32,-10.950819,340.5135
10,-50,-14.466293,581.2844
11,-50,-14.415592,592.5182
12,-32,-10.709674,339.92258
13,-50,-13.675701,588.77264
14,-50,-14.355489,607.93616
15,-50,-11.360238,599.04626
16,-36,-10.864508,339.6583
17,-40,-9.7571535,316.9091
18,-30,-12.209358,379.9634
19,-50,-13.0567665,586.57513
20,-28,-10.966698,430.20407
21,-50,-14.991994,612.33514
22,-50,-14.732342,598.1169
23,-50,-14.023333,597.20404
24,-42,-13.154475,580.9528
25,-50,-12.700484,605.4446
26,-10,-8.866159,267.19537
27,-50,-15.2412815,590.6839
28,-50,-13.244851,606.72327
29,-50,-13.75867,614.6014
30,-34,-11.242878,499.78122
31,-28,-10.009691,252.4996
32,-50,-11.260912,597.10565
33,-50,-13.501221,581.2366
34,-50,-13.846963,582.64764
35,-30,-10.294362,334.34415
36,-50,-14.0303545,585.3984
37,-50,-15.545456,595.93256
38,-50,-15.116533,571.76514
39,-50,-14.625625,595.6365
40,-50,-14.49076,603.17224
41,-50,-14.772447,582.9056
42,-50,-14.152444,593.81
43,-50,-13.471014,587.9877
44,-50,-13.574747,583.8425
45,-50,-13.728452,581.0822
46,-50,-15.2633705,570.8518
47,-50,-14.2018795,580.01697
48,-50,-14.948502,582.81006
49,-50,-14.699875,587.95654
50,-24,-7.2731524,143.60931
51,-50,-14.044883,576.36035
52,-50,-13.842737,579.54767
53,-50,-14.604761,583.9318
54,-50,-14.274394,592.1325
55,-42,-14.207577,575.6394
56,-24,-6.9930296,125.66681
57,-50,-15.897169,606.8136
58,-50,-14.91785,578.31836
59,-50,-14.842531,578.1046
60,-50,-13.461042,579.14166
61,-50,-12.972193,575.4782
62,-50,-13.134112,581.5832
63,-50,-13.851565,576.713
64,-40,-12.384634,586.6185
65,-34,-12.686508,422.25
66,-50,-13.154769,616.2693
67,-50,-14.615448,569.0476
68,-50,-16.128174,608.78094
69,-34,-12.774334,500.07367
70,-50,-14.261356,588.4338
71,-34,-13.124363,472.95358
72,-50,-13.160452,582.5931
73,-28,-7.8207955,199.66467
74,-50,-13.837333,576.2135
75,-50,-14.619822,567.076
76,-50,-14.434269,582.95654
77,-20,-6.4017262,108.25315
78,-28,-12.242202,372.8852
79,-50,-14.75011,578.1197
80,-50,-14.172798,608.2615
81,-50,-13.819476,576.65735
82,-50,-15.338194,585.2727
83,-50,-13.432101,571.75854
84,-42,-12.029186,419.0684
85,-50,-13.484909,568.32556
86,-2,-2.7717981,34.505238
87,-50,-13.662543,595.38727
88,-26,-9.793969,242.76236
89,2,-2.9851832,41.793564
90,-24,-8.428732,188.47574
91,-50,-14.317635,573.1121
92,-6,-5.9145503,95.91263
93,-50,-14.403672,589.36993
94,-14,-6.4298425,106.979065
95,-48,-13.80512,596.1072
96,-50,-14.137801,583.42377
97,-50,-14.541316,568.25775
98,-50,-13.616842,597.3889
99,-50,-14.245808,574.0643
100,-26,-8.839225,184.41219
101,-50,-14.7535,567.34033
102,-40,-8.36293,296.9507
